Compound,Protein,Neighborhood_1,Tag
Fatigue,DRD4,1Neigh,1Neigh-Fatigue
Fatigue,STX1A,1Neigh,1Neigh-Fatigue
Fatigue,SNCAIP,1Neigh,1Neigh-Fatigue
Fatigue,CDH1,1Neigh,1Neigh-Fatigue
Fatigue,SLC17A6,1Neigh,1Neigh-Fatigue
Fatigue,PRKCG,1Neigh,1Neigh-Fatigue
Fatigue,LRTOMT,1Neigh,1Neigh-Fatigue
Fatigue,DRD5,1Neigh,1Neigh-Fatigue
Fatigue,GPR37,1Neigh,1Neigh-Fatigue
Fatigue,MAOA,1Neigh,1Neigh-Fatigue
Fatigue,COMT,1Neigh,1Neigh-Fatigue
Fatigue,PRKN,1Neigh,1Neigh-Fatigue
Fatigue,FLOT1,1Neigh,1Neigh-Fatigue
Fatigue,MAOB,1Neigh,1Neigh-Fatigue
Fatigue,TH,1Neigh,1Neigh-Fatigue
Fatigue,DBH,1Neigh,1Neigh-Fatigue
Fatigue,FLOT2,1Neigh,1Neigh-Fatigue
Fatigue,CAMK2B,1Neigh,1Neigh-Fatigue
Fatigue,PRKCA,1Neigh,1Neigh-Fatigue
Fatigue,SLC18A2,1Neigh,1Neigh-Fatigue
Fatigue,NR0B2,1Neigh,1Neigh-Fatigue
Fatigue,KLB,1Neigh,1Neigh-Fatigue
Fatigue,CYP27A1,1Neigh,1Neigh-Fatigue
Fatigue,PPARGC1A,1Neigh,1Neigh-Fatigue
Fatigue,NCOR1,1Neigh,1Neigh-Fatigue
Fatigue,ABCG8,1Neigh,1Neigh-Fatigue
Fatigue,FGFR4,1Neigh,1Neigh-Fatigue
Fatigue,SLC51A,1Neigh,1Neigh-Fatigue
Fatigue,MED1,1Neigh,1Neigh-Fatigue
Fatigue,HNF4A,1Neigh,1Neigh-Fatigue
Fatigue,SREBF1,1Neigh,1Neigh-Fatigue
Fatigue,RXRG,1Neigh,1Neigh-Fatigue
Fatigue,NR5A2,1Neigh,1Neigh-Fatigue
Fatigue,NCOA3,1Neigh,1Neigh-Fatigue
Fatigue,RXRB,1Neigh,1Neigh-Fatigue
Fatigue,ABCA1,1Neigh,1Neigh-Fatigue
Fatigue,NCOR2,1Neigh,1Neigh-Fatigue
Fatigue,NCOA1,1Neigh,1Neigh-Fatigue
Fatigue,NCOA2,1Neigh,1Neigh-Fatigue
